xaxis,0,StdDev,431,StdDev,862,StdDev,1293,StdDev,1724,StdDev,2155,StdDev,2586,StdDev,3017,StdDev,3448,StdDev,3879,StdDev,4311,StdDev,4742,StdDev,5173,StdDev,5604,StdDev,6035,StdDev,6466,StdDev,6897,StdDev,7328,StdDev,7759,StdDev,8191,StdDev
38.0,0.8359749999999998,0.022121807679301424,0.8567750000000001,0.025371723926450096,0.8318999999999999,0.025752475609152604,0.8347999999999999,0.023004564764411425,0.7471249999999999,0.04219015732371711,0.771325,0.03437978148563484,0.523825,0.05772343003495201,0.496575,0.04212356080627562,0.6658999999999999,0.06766454019647218,0.61955,0.06730971326636297,0.5276,0.0761540543897697,0.49315,0.04217555571655222,0.498925,0.05590589749749126,0.528925,0.07262037851044292,0.499625,0.06532024475612441,0.47322500000000006,0.05748151333254893,0.472125,0.04675264029977345,0.462125,0.050615801633482005,0.49000000000000005,0.055570675720203376,0.44745,0.06099588100847467
42.0,0.8300999999999998,0.01742670364698957,0.83735,0.024598323113578277,0.8182500000000001,0.021886925320839357,0.80425,0.03890292405462601,0.73135,0.04152141013983027,0.73195,0.028153996163955135,0.4824250000000001,0.03465175861338065,0.530525,0.08391751530520908,0.657975,0.0500951532086688,0.580975,0.06623801306651643,0.5784,0.061947074184339014,0.49407499999999993,0.05210680737677179,0.5078,0.061841410074480026,0.514475,0.068706254264077,0.492075,0.06719426593839686,0.4816000000000001,0.055057606195692894,0.46624999999999994,0.047663796533637566,0.47364999999999996,0.06664553623461965,0.45577499999999993,0.05546236899916916,0.450575,0.051653599826149595
46.0,0.82785,0.018948021004843742,0.8525500000000001,0.02159739567633099,0.8039750000000001,0.020777978125890856,0.80625,0.040371865203381416,0.7422,0.034888536799355746,0.7089749999999999,0.0482501230568379,0.5122500000000001,0.0769076556657398,0.51805,0.07662961242235276,0.610675,0.056912383318571354,0.6040249999999999,0.05181384346871017,0.561325,0.057943242703528415,0.493375,0.04478263474830395,0.47705000000000003,0.0431775115077282,0.49762499999999993,0.061648068704542563,0.47775,0.05668630787059605,0.46362499999999995,0.04908446164520906,0.4624,0.04861522395299646,0.44117500000000004,0.04563654648415018,0.44902499999999995,0.05724879365541252,0.453125,0.06592919971454227
50.0,0.811825,0.020960543289714577,0.8160999999999999,0.024962772281940136,0.783525,0.023190501827256786,0.808425,0.03134636143159201,0.74485,0.03421004969303612,0.734425,0.04136900258647772,0.665675,0.04109646426397287,0.64545,0.052784443731084256,0.561025,0.08978181539153685,0.5192499999999999,0.06169835897331468,0.5394249999999999,0.06780851255557814,0.49042499999999994,0.04584696691167259,0.49312500000000004,0.03375736030853124,0.48362499999999997,0.05516687751722042,0.47162500000000007,0.05975813229176427,0.48135000000000006,0.052019010947921725,0.450025,0.051967531931004764,0.46335,0.059106069908259,0.43537499999999996,0.04503037169511263,0.45372500000000004,0.05972436165418597
53.0,0.818675,0.027471246331391645,0.8254750000000002,0.0319960837447335,0.7676999999999999,0.01975626482916244,0.79015,0.025858799276068475,0.746875,0.02773462411859949,0.709975,0.03906116197708409,0.6496500000000001,0.04172442330338433,0.6357,0.046515158819464435,0.587325,0.06282093102621132,0.5384249999999999,0.06528854704310703,0.492525,0.05243709922373662,0.4723,0.04855419652306071,0.477475,0.05134880110577071,0.48095,0.0569819927696461,0.459725,0.04733549804322334,0.46857499999999996,0.060736680638638796,0.44552499999999995,0.044626778676037114,0.42345000000000005,0.05570051615559769,0.439275,0.045793551674881035,0.442025,0.05674658029344148
57.0,0.8421249999999999,0.01926679462183578,0.798875,0.03458481422532148,0.777825,0.02642147564009248,0.78155,0.024802167244013174,0.7232000000000001,0.03650903997642228,0.7036999999999999,0.027695848064285725,0.638075,0.04289719542114614,0.5742,0.05381551820804106,0.5807249999999999,0.06224949296982264,0.4843,0.05264228338512683,0.47555,0.04471741830651676,0.49315,0.0548185871762489,0.48315,0.06942173650954,0.49317500000000003,0.05929455603173027,0.4534750000000001,0.04651665696285579,0.46315000000000006,0.07076317898455382,0.44772500000000004,0.0510382148492676,0.43949999999999995,0.05203604519945765,0.4413,0.05489817847615712,0.42595,0.06141007653471864
61.0,0.8280999999999998,0.018125672401320708,0.74355,0.032062400097310255,0.76105,0.021903139044438375,0.71745,0.039852195673513405,0.694975,0.04186495401884492,0.672775,0.033842641371500524,0.6346999999999999,0.053276730380157525,0.51845,0.060563169500943384,0.5479499999999999,0.0540813969863945,0.523125,0.06517253543479799,0.49015000000000003,0.059683980262713716,0.48237500000000005,0.04409177219164592,0.5020749999999999,0.0511968688007382,0.47277499999999995,0.06103379698986455,0.449625,0.04841935950629666,0.457,0.05286586800573694,0.42627499999999996,0.0599908274238654,0.442025,0.0475297209648868,0.42910000000000004,0.04559703937757363,0.44327500000000003,0.04605213757253837
65.0,0.811225,0.036133424623193404,0.770425,0.026276308245261563,0.7551,0.02602479586855583,0.6859500000000001,0.03390055309283315,0.7201000000000001,0.042829779359693176,0.661625,0.036471692790436806,0.640725,0.05722979446931467,0.502475,0.031172894876799633,0.583175,0.04196182044430388,0.5257250000000001,0.04330530423631728,0.512475,0.06014856087222702,0.487475,0.06312922758120837,0.48655,0.0591709176876614,0.4583500000000001,0.06303512909481505,0.465975,0.06101290334839018,0.45949999999999996,0.050901866370497664,0.43585,0.06057291061192289,0.4212999999999999,0.05404821921210725,0.4196250000000001,0.05359976096028788,0.4224,0.05022588973826149
69.0,0.753025,0.0219527760203579,0.7586,0.026384465126282192,0.765325,0.0379739302021795,0.6942499999999999,0.030582470469208322,0.68995,0.04913550142208788,0.6532,0.03384907679686405,0.621575,0.028453371944288097,0.50625,0.043989629459680615,0.537375,0.06753431997880781,0.49115000000000003,0.06046178545163879,0.472625,0.04101748864813643,0.507725,0.05324471217876945,0.46907499999999996,0.056511674678777664,0.46782499999999994,0.05653975924073253,0.44994999999999996,0.05447520077980438,0.45890000000000003,0.043633015023030436,0.43122499999999997,0.04066785432008923,0.42269999999999996,0.0439,0.43179999999999996,0.044348731661683405,0.42965,0.05826900977363525
72.0,0.74515,0.025184866487635012,0.7457,0.025857494078119807,0.774475,0.03081151367589721,0.722475,0.05395089781458694,0.6931749999999999,0.03607830892655584,0.6598499999999999,0.036186703359106925,0.606975,0.059631571964857674,0.5663500000000001,0.052704150690434236,0.5224249999999999,0.06463392588261987,0.487275,0.05139114101671609,0.47104999999999997,0.040751656408052915,0.50065,0.05623902115079885,0.44935,0.038595045018758566,0.469475,0.053945800346273484,0.4490499999999999,0.04973175544860648,0.43224999999999997,0.04416262560129323,0.44045000000000006,0.04454096429131278,0.42234999999999995,0.045467873273334444,0.4488,0.06787164356342051,0.434075,0.05938366252598437
